Nombre,Calorias,Proteinas
Manzana,52,0.3
Banano,89,1.1
Pera,57,0.4
Naranja,47,0.9
Mandarina,53,0.8
Piña,50,0.5
Mango,60,0.8
Papaya,43,0.5
Sandia,30,0.6
Melon,34,0.8
Uvas,69,0.7
Fresa,32,0.7
Frambuesa,52,1.2
Mora,43,1.4
Arandanos,57,0.7
Kiwi,61,1.1
Durazno,39,0.9
Ciruela,46,0.7
Cereza,63,1.1
Guayaba,68,2.6
Aguacate,160,2
Coco,354,3.3
Limon,29,1.1
Maracuya,97,2.2
Higo,74,0.8
Tomate,18,0.9
Pepino,15,0.7
Lechuga,15,1.4
Espinaca,23,2.9
Brocoli,34,2.8
Coliflor,25,1.9
Zanahoria,41,0.9
Remolacha,43,1.6
Apio,16,0.7
Pimiento rojo,31,1
Pimiento verde,20,0.9
Cebolla,40,1.1
Ajo,149,6.4
Champiñones,22,3.1
Calabacin,17,1.2
Berenjena,25,1
Repollo,25,1.3
Maiz dulce,86,3.3
Yuca,160,1.4
Camote,86,1.6
Papa,77,2
Pechuga de pollo,165,31
Muslo de pollo,209,26
Pavo,189,29
Res magra,250,26
Cerdo magro,242,27
Cordero,294,25
Jamon,145,21
Tocino,541,37
Salchicha,301,12
Chorizo,455,24
Atun,132,29
Salmon,208,20
Sardinas,208,25
Tilapia,129,26
Bacalao,82,18
Camaron,99,24
Pulpo,82,15
Calamar,92,16
Cangrejo,97,19
Huevo,155,13
Clara de huevo,52,11
Leche entera,61,3.2
Leche descremada,34,3.4
Yogur natural,59,10
Yogur griego,97,10
Queso cheddar,403,25
Queso mozzarella,280,28
Queso parmesano,431,38
Queso cottage,98,11
Mantequilla,717,0.9
Crema de leche,340,2
Helado de vainilla,207,3.5
Arroz blanco cocido,130,2.7
Arroz integral cocido,111,2.6
Avena,389,16.9
Quinoa cocida,120,4.4
Trigo,339,13.2
Cebada,354,12.5
Centeno,335,10.3
Pan blanco,265,9
Pan integral,247,13
Pasta cocida,158,5.8
Cereal de maiz,357,7.5
Granola,471,10
Lentejas cocidas,116,9
Frijoles negros cocidos,132,8.9
Frijoles rojos cocidos,127,8.7
Garbanzos cocidos,164,8.9
Habas cocidas,110,7.6
Soya cocida,173,16.6
Tofu,76,8
Tempeh,193,20
Almendras,579,21.2
Nueces,654,15.2
Mani,567,25.8
Pistachos,562,20.2
Anacardos,553,18.2
Semillas de girasol,584,20.8
Semillas de chia,486,16.5
Semillas de linaza,534,18.3
Aceitunas verdes,145,1
Aceitunas negras,116,0.8
Pizza de queso,266,11
Hamburguesa,295,17
Hot dog,290,11
Papas fritas,312,3.4
Pollo frito,320,23
Tacos de carne,226,12
Burrito,206,8
Lasana,135,8
Empanada de carne,300,10
Croissant,406,8.2
Donut,452,4.9
Galletas de chocolate,502,5.9
Chocolate con leche,535,7.6
Chocolate negro,598,7.8
Barra energetica,379,13
Palomitas de maiz,387,13
Pretzels,380,10
Nachos,489,7
Chips de papa,536,7
Refresco cola,42,0
Jugo de naranja,45,0.7
Cafe negro,1,0.1
Te verde,1,0.2
Bebida energetica,45,0
Cerveza,43,0.5
Vino tinto,85,0.1
Agua de coco,19,0.7
Batido de chocolate,112,3.4
Leche de almendras,15,0.6
Sushi,143,6
Falafel,333,13
Hummus,166,8
Paella,158,7
Cuscus cocido,112,3.8
Kimchi,15,1.1
